ALT,P,T,H2O,CO2,O3,CO,N2O,CH4,O2,BRD,NO,SO2_HI,NO2_HI,NH3,HNO3_HI,OH,HF,HCL,HBR,HI,CLO,OCS,H2CO,HOCL,N2,HCN,CH3CL,H2O2,C2H2,C2H6,PH3,COF2,SF6,H2S,HCOOH,HO2,O,CLONO2_HI,NOPLUS,HOBR,C2H4,CH3OH,CH3BR,CH3CN_HI,CF4_HI,C4H2,HC3N,H2,CS,SO3,BRO,CLONO2_XS,HNO4,CHCL2F,CCL4,F11,F12,C2CL2F4,C2CL3F3,N2O5,HNO3_XS,CF4_XS,CHCLF2,CCLF3,C2CLF5,NO2_XS,PAN,ACET,CH3CN_XS,CHF2CF3,CFH2CF3,CF3CH3,CH3CHF2,CH2F2,CCl2FCH3,CH3CClF2,??????,CHCl2CF3,CHClFCF3,CHCl2C2F5,C2HCl2F3CF2,SO2_XS,ISOP,CHF3
 5.183E-01, 1.009E+03, 2.995E+02, 2.569E-02, 3.300E-04, 2.879E-08, 1.498E-07, 3.200E-07, 1.700E-06, 2.090E-01, 2.442E+13, 3.000E-10, 2.990E-10, 2.300E-11, 5.000E-10, 5.035E-11, 4.400E-14, 1.000E-14, 9.908E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.996E-10, 2.351E-09, 7.806E-12, 7.810E-01, 1.698E-10, 6.989E-10, 1.998E-10, 2.953E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 4.716E-12, 9.270E-13,nan, 1.300E-10, 1.400E-10, 2.400E-10, 1.200E-11, 1.900E-11, 1.413E-16, 5.772E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 6.889E-14, 4.793E-10, 1.000E-10, 1.999E-12, 9.656E-12, 1.999E-12, 1.999E-12, 3.852E-12, 1.120E-11, 1.077E-11,nan,nan,nan,nan,nan, 2.990E-10, 9.835E-11, 2.144E-11
 5.596E-01, 1.000E+03, 2.990E+02, 2.516E-02, 3.300E-04, 2.903E-08, 1.494E-07, 3.200E-07, 1.700E-06, 2.090E-01, 2.424E+13, 3.000E-10, 2.969E-10, 2.300E-11, 5.000E-10, 5.114E-11, 4.400E-14, 1.000E-14, 9.701E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.988E-10, 2.241E-09, 8.046E-12, 7.810E-01, 1.694E-10, 6.964E-10, 1.994E-10, 2.847E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 4.668E-12, 1.022E-12,nan, 1.300E-10, 1.400E-10, 2.400E-10, 1.200E-11, 1.900E-11, 1.640E-16, 5.849E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 7.557E-14, 4.846E-10, 1.000E-10, 1.998E-12, 9.649E-12, 1.998E-12, 1.998E-12, 3.848E-12, 1.119E-11, 1.076E-11,nan,nan,nan,nan,nan, 2.969E-10, 9.235E-11, 2.144E-11
 9.793E-01, 9.085E+02, 2.939E+02, 1.976E-02, 3.300E-04, 3.138E-08, 1.452E-07, 3.200E-07, 1.700E-06, 2.090E-01, 2.240E+13, 3.000E-10, 2.751E-10, 2.300E-11, 5.000E-10, 5.920E-11, 4.400E-14, 1.000E-14, 7.594E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.904E-10, 1.125E-09, 1.048E-11, 7.810E-01, 1.652E-10, 6.712E-10, 1.952E-10, 1.773E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 4.186E-12, 1.984E-12,nan, 1.300E-10, 1.400E-10, 2.400E-10, 1.200E-11, 1.900E-11, 3.951E-16, 6.632E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 1.434E-13, 5.379E-10, 1.000E-10, 1.984E-12, 9.581E-12, 1.984E-12, 1.984E-12, 3.805E-12, 1.111E-11, 1.068E-11,nan,nan,nan,nan,nan, 2.751E-10, 3.150E-11, 2.140E-11
 1.794E+00, 8.254E+02, 2.889E+02, 1.620E-02, 3.300E-04, 3.302E-08, 1.410E-07, 3.200E-07, 1.700E-06, 2.090E-01, 2.070E+13, 3.000E-10, 2.438E-10, 2.300E-11, 4.706E-10, 6.730E-11, 4.400E-14, 1.183E-14, 5.997E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.821E-10, 5.412E-10, 1.187E-11, 7.810E-01, 1.634E-10, 6.486E-10, 1.926E-10, 1.114E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 3.705E-12, 2.941E-12,nan, 1.299E-10, 1.399E-10, 2.399E-10, 1.200E-11, 1.899E-11, 6.251E-16, 7.411E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 7.134E-13, 5.988E-10, 1.000E-10, 1.971E-12, 9.519E-12, 1.971E-12, 1.971E-12, 3.765E-12, 1.104E-11, 1.061E-11,nan,nan,nan,nan,nan, 2.438E-10, 1.125E-11, 2.137E-11
 2.612E+00, 7.499E+02, 2.853E+02, 1.121E-02, 3.300E-04, 3.439E-08, 1.368E-07, 3.200E-07, 1.700E-06, 2.090E-01, 1.905E+13, 3.000E-10, 2.078E-10, 2.300E-11, 4.122E-10, 7.530E-11, 4.400E-14, 1.683E-14, 4.759E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.739E-10, 2.956E-10, 1.171E-11, 7.810E-01, 1.618E-10, 6.301E-10, 1.902E-10, 7.837E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 3.161E-12, 5.790E-12,nan, 1.299E-10, 1.399E-10, 2.399E-10, 1.200E-11, 1.899E-11, 3.289E-14, 7.954E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 1.713E-12, 6.805E-10, 1.000E-10, 1.958E-12, 9.454E-12, 1.958E-12, 1.958E-12, 3.735E-12, 1.096E-11, 1.053E-11,nan,nan,nan,nan,nan, 2.078E-10, 3.776E-12, 2.135E-11
 3.411E+00, 6.813E+02, 2.809E+02, 6.890E-03, 3.300E-04, 3.525E-08, 1.334E-07, 3.200E-07, 1.700E-06, 2.090E-01, 1.757E+13, 3.000E-10, 1.719E-10, 2.300E-11, 3.422E-10, 8.305E-11, 4.400E-14, 2.467E-14, 3.797E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.667E-10, 1.912E-10, 1.074E-11, 7.810E-01, 1.606E-10, 6.158E-10, 1.869E-10, 6.053E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 2.605E-12, 9.198E-12,nan, 1.299E-10, 1.399E-10, 2.399E-10, 1.200E-11, 1.899E-11, 7.492E-14, 8.411E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 2.768E-12, 7.637E-10, 1.000E-10, 1.944E-12, 9.390E-12, 1.944E-12, 1.944E-12, 3.716E-12, 1.089E-11, 1.046E-11,nan,nan,nan,nan,nan, 1.719E-10, 1.592E-12, 2.133E-11
 4.190E+00, 6.190E+02, 2.757E+02, 4.233E-03, 3.300E-04, 3.600E-08, 1.310E-07, 3.200E-07, 1.700E-06, 2.090E-01, 1.626E+13, 3.000E-10, 1.407E-10, 2.300E-11, 2.721E-10, 9.037E-11, 4.400E-14, 3.645E-14, 3.038E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.607E-10, 1.324E-10, 9.461E-12, 7.810E-01, 1.600E-10, 6.061E-10, 1.827E-10, 4.865E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 2.198E-17, 2.104E-12, 1.321E-11,nan, 1.298E-10, 1.398E-10, 2.398E-10, 1.199E-11, 1.898E-11, 3.090E-13, 8.825E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 3.821E-12, 8.426E-10, 1.000E-10, 1.931E-12, 9.328E-12, 1.931E-12, 1.931E-12, 3.705E-12, 1.081E-11, 1.039E-11,nan,nan,nan,nan,nan, 1.407E-10, 1.174E-12, 2.132E-11
 4.955E+00, 5.623E+02, 2.706E+02, 3.395E-03, 3.300E-04, 3.758E-08, 1.303E-07, 3.200E-07, 1.700E-06, 2.090E-01, 1.506E+13, 3.000E-10, 1.193E-10, 2.300E-11, 2.078E-10, 9.710E-11, 4.400E-14, 5.519E-14, 2.426E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.553E-10, 1.018E-10, 8.091E-12, 7.810E-01, 1.600E-10, 6.022E-10, 1.773E-10, 4.039E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 4.040E-17, 1.739E-12, 1.926E-11,nan, 1.297E-10, 1.397E-10, 2.398E-10, 1.199E-11, 1.898E-11, 1.129E-12, 9.135E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 5.094E-12, 9.236E-10, 1.000E-10, 1.920E-12, 9.271E-12, 1.920E-12, 1.920E-12, 3.697E-12, 1.075E-11, 1.033E-11,nan,nan,nan,nan,nan, 1.193E-10, 1.151E-12, 2.131E-11
 5.718E+00, 5.109E+02, 2.655E+02, 2.452E-03, 3.300E-04, 3.926E-08, 1.292E-07, 3.200E-07, 1.700E-06, 2.090E-01, 1.394E+13, 3.000E-10, 1.030E-10, 2.300E-11, 1.624E-10, 1.072E-10, 4.400E-14, 8.179E-14, 1.959E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.500E-10, 8.162E-11, 6.868E-12, 7.810E-01, 1.600E-10, 6.006E-10, 1.691E-10, 3.416E-11, 1.928E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 5.879E-17, 1.373E-12, 2.529E-11,nan, 1.296E-10, 1.396E-10, 2.397E-10, 1.199E-11, 1.897E-11, 1.946E-12, 9.444E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 9.269E-12, 9.688E-10, 1.000E-10, 1.907E-12, 9.209E-12, 1.907E-12, 1.907E-12, 3.691E-12, 1.068E-11, 1.027E-11,nan,nan,nan,nan,nan, 1.030E-10, 1.071E-12, 2.130E-11
 6.464E+00, 4.642E+02, 2.605E+02, 1.724E-03, 3.300E-04, 4.098E-08, 1.269E-07, 3.200E-07, 1.700E-06, 2.090E-01, 1.290E+13, 3.000E-10, 9.056E-11, 2.300E-11, 1.241E-10, 1.180E-10, 4.405E-14, 1.202E-13, 1.572E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.443E-10, 6.790E-11, 5.956E-12, 7.810E-01, 1.600E-10, 6.000E-10, 1.581E-10, 3.009E-11, 1.877E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 7.675E-17, 1.117E-12, 2.999E-11,nan, 1.296E-10, 1.396E-10, 2.397E-10, 1.199E-11, 1.897E-11, 2.335E-12, 9.723E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 1.335E-11, 9.974E-10, 1.000E-10, 1.895E-12, 9.152E-12, 1.895E-12, 1.895E-12, 3.685E-12, 1.061E-11, 1.020E-11,nan,nan,nan,nan,nan, 9.056E-11, 1.063E-12, 2.130E-11
