ALT,P,T,H2O,CO2,O3,CO,N2O,CH4,O2,BRD,NO,SO2_HI,NO2_HI,NH3,HNO3_HI,OH,HF,HCL,HBR,HI,CLO,OCS,H2CO,HOCL,N2,HCN,CH3CL,H2O2,C2H2,C2H6,PH3,COF2,SF6,H2S,HCOOH,HO2,O,CLONO2_HI,NOPLUS,HOBR,C2H4,CH3OH,CH3BR,CH3CN_HI,CF4_HI,C4H2,HC3N,H2,CS,SO3,BRO,CLONO2_XS,HNO4,CHCL2F,CCL4,F11,F12,C2CL2F4,C2CL3F3,N2O5,HNO3_XS,CF4_XS,CHCLF2,CCLF3,C2CLF5,NO2_XS,PAN,ACET,CH3CN_XS,CHF2CF3,CFH2CF3,CF3CH3,CH3CHF2,CH2F2,CCl2FCH3,CH3CClF2,??????,CHCl2CF3,CHClFCF3,CHCl2C2F5,C2HCl2F3CF2,SO2_XS,ISOP,CHF3
 4.360E-01, 1.027E+03, 2.948E+02, 1.940E-02, 3.300E-04, 2.976E-08, 1.506E-07, 3.200E-07, 1.700E-06, 2.090E-01, 2.527E+13, 3.000E-10, 3.033E-10, 2.300E-11, 5.000E-10, 4.877E-11, 4.400E-14, 1.000E-14, 1.032E-09, 1.700E-12, 3.000E-12, 1.000E-14, 6.013E-10, 2.570E-09, 7.329E-12, 7.810E-01, 1.706E-10, 7.038E-10, 2.006E-10, 3.164E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 4.811E-12, 7.383E-13,nan, 1.300E-10, 1.400E-10, 2.400E-10, 1.200E-11, 1.900E-11, 9.594E-17, 5.619E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 5.560E-14, 4.689E-10, 1.000E-10, 2.002E-12, 9.669E-12, 2.002E-12, 2.002E-12, 3.861E-12, 1.121E-11, 1.078E-11,nan,nan,nan,nan,nan, 3.033E-10, 1.103E-10, 2.145E-11
 5.586E-01, 1.000E+03, 2.937E+02, 1.818E-02, 3.300E-04, 3.054E-08, 1.494E-07, 3.200E-07, 1.700E-06, 2.090E-01, 2.468E+13, 3.000E-10, 2.970E-10, 2.300E-11, 5.000E-10, 5.112E-11, 4.400E-14, 1.000E-14, 9.706E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.988E-10, 2.244E-09, 8.040E-12, 7.810E-01, 1.694E-10, 6.965E-10, 1.994E-10, 2.850E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 4.670E-12, 1.019E-12,nan, 1.300E-10, 1.400E-10, 2.400E-10, 1.200E-11, 1.900E-11, 1.634E-16, 5.847E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 7.540E-14, 4.844E-10, 1.000E-10, 1.998E-12, 9.650E-12, 1.998E-12, 1.998E-12, 3.848E-12, 1.119E-11, 1.076E-11,nan,nan,nan,nan,nan, 2.970E-10, 9.251E-11, 2.144E-11
 9.707E-01, 9.085E+02, 2.900E+02, 1.407E-02, 3.300E-04, 3.318E-08, 1.453E-07, 3.200E-07, 1.700E-06, 2.090E-01, 2.271E+13, 3.000E-10, 2.755E-10, 2.300E-11, 5.000E-10, 5.904E-11, 4.400E-14, 1.000E-14, 7.637E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.906E-10, 1.148E-09, 1.043E-11, 7.810E-01, 1.653E-10, 6.718E-10, 1.953E-10, 1.795E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 4.196E-12, 1.964E-12,nan, 1.300E-10, 1.400E-10, 2.400E-10, 1.200E-11, 1.900E-11, 3.903E-16, 6.616E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 1.420E-13, 5.368E-10, 1.000E-10, 1.984E-12, 9.583E-12, 1.984E-12, 1.984E-12, 3.806E-12, 1.112E-11, 1.069E-11,nan,nan,nan,nan,nan, 2.755E-10, 3.275E-11, 2.140E-11
 1.766E+00, 8.254E+02, 2.863E+02, 1.064E-02, 3.300E-04, 3.610E-08, 1.411E-07, 3.200E-07, 1.700E-06, 2.090E-01, 2.089E+13, 3.000E-10, 2.449E-10, 2.300E-11, 4.717E-10, 6.703E-11, 4.400E-14, 1.176E-14, 6.050E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.823E-10, 5.599E-10, 1.183E-11, 7.810E-01, 1.635E-10, 6.493E-10, 1.927E-10, 1.136E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 3.722E-12, 2.909E-12,nan, 1.299E-10, 1.399E-10, 2.399E-10, 1.200E-11, 1.899E-11, 6.174E-16, 7.385E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 6.935E-13, 5.967E-10, 1.000E-10, 1.972E-12, 9.521E-12, 1.972E-12, 1.972E-12, 3.766E-12, 1.104E-11, 1.061E-11,nan,nan,nan,nan,nan, 2.449E-10, 1.186E-11, 2.137E-11
 2.566E+00, 7.499E+02, 2.818E+02, 7.587E-03, 3.300E-04, 3.993E-08, 1.371E-07, 3.200E-07, 1.700E-06, 2.090E-01, 1.928E+13, 3.000E-10, 2.099E-10, 2.300E-11, 4.160E-10, 7.485E-11, 4.400E-14, 1.649E-14, 4.823E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.743E-10, 3.038E-10, 1.175E-11, 7.810E-01, 1.619E-10, 6.311E-10, 1.903E-10, 7.967E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 3.193E-12, 5.594E-12,nan, 1.299E-10, 1.399E-10, 2.399E-10, 1.200E-11, 1.899E-11, 3.048E-14, 7.928E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 1.649E-12, 6.755E-10, 1.000E-10, 1.958E-12, 9.458E-12, 1.958E-12, 1.958E-12, 3.737E-12, 1.097E-11, 1.054E-11,nan,nan,nan,nan,nan, 2.099E-10, 4.000E-12, 2.135E-11
 3.350E+00, 6.813E+02, 2.771E+02, 5.224E-03, 3.300E-04, 4.432E-08, 1.336E-07, 3.200E-07, 1.699E-06, 2.090E-01, 1.781E+13, 3.000E-10, 1.746E-10, 2.300E-11, 3.478E-10, 8.246E-11, 4.400E-14, 2.394E-14, 3.859E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.672E-10, 1.965E-10, 1.084E-11, 7.810E-01, 1.606E-10, 6.167E-10, 1.872E-10, 6.155E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 2.647E-12, 8.938E-12,nan, 1.299E-10, 1.399E-10, 2.399E-10, 1.200E-11, 1.899E-11, 7.171E-14, 8.376E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 2.692E-12, 7.576E-10, 1.000E-10, 1.945E-12, 9.395E-12, 1.945E-12, 1.945E-12, 3.717E-12, 1.089E-11, 1.047E-11,nan,nan,nan,nan,nan, 1.746E-10, 1.635E-12, 2.133E-11
 4.122E+00, 6.190E+02, 2.725E+02, 3.619E-03, 3.300E-04, 4.905E-08, 1.311E-07, 3.200E-07, 1.696E-06, 2.090E-01, 1.646E+13, 3.000E-10, 1.426E-10, 2.300E-11, 2.777E-10, 8.977E-11, 4.400E-14, 3.479E-14, 3.092E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.611E-10, 1.351E-10, 9.581E-12, 7.810E-01, 1.600E-10, 6.064E-10, 1.831E-10, 4.938E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 2.035E-17, 2.137E-12, 1.268E-11,nan, 1.298E-10, 1.398E-10, 2.398E-10, 1.199E-11, 1.898E-11, 2.367E-13, 8.797E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 3.709E-12, 8.354E-10, 1.000E-10, 1.932E-12, 9.333E-12, 1.932E-12, 1.932E-12, 3.706E-12, 1.082E-11, 1.040E-11,nan,nan,nan,nan,nan, 1.426E-10, 1.176E-12, 2.132E-11
 4.887E+00, 5.623E+02, 2.679E+02, 2.404E-03, 3.300E-04, 5.434E-08, 1.304E-07, 3.200E-07, 1.688E-06, 2.090E-01, 1.521E+13, 3.000E-10, 1.212E-10, 2.300E-11, 2.135E-10, 9.651E-11, 4.400E-14, 5.354E-14, 2.480E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.558E-10, 1.045E-10, 8.212E-12, 7.810E-01, 1.600E-10, 6.026E-10, 1.778E-10, 4.112E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 3.878E-17, 1.771E-12, 1.873E-11,nan, 1.297E-10, 1.397E-10, 2.398E-10, 1.199E-11, 1.898E-11, 1.056E-12, 9.107E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 4.982E-12, 9.165E-10, 1.000E-10, 1.921E-12, 9.276E-12, 1.921E-12, 1.921E-12, 3.698E-12, 1.076E-11, 1.034E-11,nan,nan,nan,nan,nan, 1.212E-10, 1.153E-12, 2.131E-11
 5.643E+00, 5.109E+02, 2.633E+02, 1.765E-03, 3.300E-04, 6.088E-08, 1.293E-07, 3.200E-07, 1.677E-06, 2.090E-01, 1.405E+13, 3.000E-10, 1.046E-10, 2.300E-11, 1.667E-10, 1.062E-10, 4.400E-14, 7.914E-14, 2.004E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.505E-10, 8.353E-11, 6.987E-12, 7.810E-01, 1.600E-10, 6.007E-10, 1.699E-10, 3.475E-11, 1.936E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 5.699E-17, 1.409E-12, 2.470E-11,nan, 1.296E-10, 1.396E-10, 2.397E-10, 1.199E-11, 1.897E-11, 1.866E-12, 9.414E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 8.843E-12, 9.646E-10, 1.000E-10, 1.908E-12, 9.215E-12, 1.908E-12, 1.908E-12, 3.692E-12, 1.069E-11, 1.027E-11,nan,nan,nan,nan,nan, 1.046E-10, 1.079E-12, 2.130E-11
 6.374E+00, 4.642E+02, 2.588E+02, 1.327E-03, 3.300E-04, 6.916E-08, 1.273E-07, 3.200E-07, 1.663E-06, 2.090E-01, 1.299E+13, 3.000E-10, 9.182E-11, 2.300E-11, 1.283E-10, 1.166E-10, 4.404E-14, 1.147E-13, 1.614E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.450E-10, 6.916E-11, 6.046E-12, 7.810E-01, 1.600E-10, 6.000E-10, 1.596E-10, 3.044E-11, 1.881E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 7.460E-17, 1.140E-12, 2.951E-11,nan, 1.296E-10, 1.396E-10, 2.397E-10, 1.199E-11, 1.897E-11, 2.318E-12, 9.691E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 1.287E-11, 9.949E-10, 1.000E-10, 1.896E-12, 9.159E-12, 1.896E-12, 1.896E-12, 3.686E-12, 1.062E-11, 1.021E-11,nan,nan,nan,nan,nan, 9.182E-11, 1.059E-12, 2.130E-11
